order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
59,,2025-06-12,209,4,383.29,1533.16,Completed,2025-06-14
60,,2026-05-03,461,8,75.89,607.12,Completed,2026-05-07
61,,2024-01-12,111,1,65.39,65.39,Completed,2024-01-12
62,,2021-09-16,97,6,291.50,1749.00,Completed,2021-09-16
63,,2024-10-23,201,7,365.88,2561.16,Completed,2024-10-24
64,,2025-09-27,486,1,91.47,91.47,Cancelled,
65,,2026-06-07,217,6,81.29,487.74,Completed,2026-06-10
66,,2022-10-08,251,3,387.48,1162.44,Completed,2022-10-09
67,,2026-06-04,165,6,283.49,1700.94,Completed,2026-06-07
68,,2026-01-16,279,6,225.99,1355.94,Completed,2026-01-18
69,,2024-10-07,485,2,243.62,487.24,Completed,2024-10-09
70,,2022-10-22,86,2,378.30,756.60,Completed,2022-10-23
71,,2026-06-01,438,2,408.87,817.74,Completed,2026-06-01
72,,2026-05-06,257,2,126.01,252.02,Cancelled,
73,,2025-09-02,112,5,289.68,1448.40,Completed,2025-09-05
74,,2024-11-28,249,1,308.98,308.98,Cancelled,
75,,2025-02-10,442,1,206.88,206.88,Cancelled,
76,,2026-04-25,143,1,32.55,32.55,Completed,2026-04-27
77,,2026-05-20,474,2,261.56,523.12,Completed,2026-05-21
78,,2026-06-27,416,4,387.80,1551.20,Completed,2026-06-27
79,,2026-06-21,341,2,18.56,37.12,Completed,2026-06-22
80,,2026-07-19,18,4,218.42,873.68,Completed,2026-07-23
81,,2025-05-24,101,4,264.56,1058.24,Completed,2025-05-24
82,,2024-06-03,473,3,273.18,819.54,Completed,2024-06-04
83,,2026-04-15,367,4,12.29,49.16,Completed,2026-04-19
84,,2023-11-29,404,6,97.91,587.46,Completed,2023-11-29
85,,2024-12-20,125,5,268.24,1341.20,Pending,
86,,2026-03-22,175,4,13.29,53.16,Completed,2026-03-26
87,,2025-08-14,31,6,416.17,2497.02,Completed,2025-08-16
88,,2022-07-27,67,2,405.49,810.98,Cancelled,
89,,2024-03-21,8,4,81.93,327.72,Completed,2024-03-25
90,,2026-06-14,448,1,349.51,349.51,Completed,2026-06-17
91,,2024-09-03,258,4,369.13,1476.52,Pending,
92,,2026-04-23,146,6,419.65,2517.90,Pending,
93,,2026-07-22,87,1,122.88,122.88,Completed,2026-07-26
94,,2023-10-03,379,6,365.76,2194.56,Completed,2023-10-05
95,,2026-02-12,285,3,176.20,528.60,Pending,
96,,2023-03-11,235,6,94.27,565.62,Completed,2023-03-13
97,,2025-01-24,347,3,211.35,634.05,Pending,
98,,2026-01-09,457,1,150.00,150.00,Completed,2026-01-09
99,,2025-12-01,182,4,314.97,1259.88,Completed,2025-12-03
100,,2026-01-31,74,7,61.16,428.12,Completed,2026-02-03
101,8314,2026-08-12,,5,127.14,635.70,Completed,2026-08-12
102,5130,2023-04-14,,3,303.17,909.51,Completed,2023-04-14
103,4070,2025-10-07,,3,259.54,778.62,Completed,2025-10-09
104,5324,2024-08-28,,6,168.42,1010.52,Completed,2024-08-28
105,7048,2025-02-03,,6,161.27,967.62,Cancelled,
106,3686,2023-07-29,,6,199.98,1199.88,Completed,2023-07-31
107,3616,2025-12-31,,6,53.86,323.16,Pending,
108,3404,2023-12-06,,3,310.36,931.08,Completed,2023-12-08
109,3115,2025-05-17,,1,403.47,403.47,Completed,2025-05-17
110,5492,2026-03-31,,4,211.35,845.40,Completed,2026-04-01
111,495,2026-02-27,,6,189.65,1137.90,Completed,2026-02-27
112,3053,2025-08-19,,2,414.58,829.16,Cancelled,
113,6584,2026-03-20,,3,33.51,100.53,Completed,2026-03-24
114,7595,2024-11-27,,4,265.17,1060.68,Pending,
115,6248,2023-05-18,,2,230.47,460.94,Completed,2023-05-21
116,3814,2026-07-18,,6,56.17,337.02,Cancelled,
117,491,2026-05-26,,1,352.51,352.51,Cancelled,
118,1134,2026-06-19,,3,104.91,314.73,Completed,2026-06-21
119,8581,2023-12-10,,3,280.32,840.96,Completed,2023-12-14
120,4872,2025-01-24,,1,251.76,251.76,Completed,2025-01-28
121,7904,2025-03-18,,1,315.78,315.78,Completed,2025-03-20
122,9572,2022-12-16,,6,34.14,204.84,Cancelled,
123,1012,2023-06-10,,4,298.95,1195.80,Pending,
124,1170,2026-07-10,,3,193.68,581.04,Completed,2026-07-12
125,9314,2025-01-25,,1,415.07,415.07,Pending,
126,6788,2022-09-11,,3,230.47,691.41,Completed,2022-09-12
127,1203,2026-06-18,,5,416.17,2080.85,Pending,
128,3391,2021-08-26,,3,197.96,593.88,Completed,2021-08-26
129,3556,2024-09-26,,6,71.59,429.54,Completed,2024-09-30
130,7467,2025-01-18,,1,144.54,144.54,Completed,2025-01-21
131,253,2025-04-06,,6,280.32,1681.92,Pending,
132,1897,2021-06-13,,3,14.74,44.22,Completed,2021-06-14
133,5662,2024-05-24,,3,293.28,879.84,Completed,2024-05-24
134,9287,2024-07-08,,3,17.65,52.95,Cancelled,
135,2156,2025-04-24,,4,125.92,503.68,Completed,2025-04-25
136,1066,2026-08-01,,7,31.80,222.60,Completed,2026-08-01
137,5488,2021-09-25,,1,359.05,359.05,Pending,
138,7118,2025-11-28,,1,238.36,238.36,Completed,2025-11-29
139,6059,2024-11-26,,3,224.60,673.80,Completed,2024-11-26
140,6438,2025-11-05,,3,313.79,941.37,Completed,2025-11-07
141,8175,2024-06-10,,3,100.94,302.82,Completed,2024-06-10
142,591,2025-10-30,,2,123.25,246.50,Completed,2025-10-31
143,113,2022-07-03,,1,298.95,298.95,Completed,2022-07-05
144,5258,2023-11-08,,3,400.31,1200.93,Completed,2023-11-12
145,8480,2025-12-01,,6,189.67,1138.02,Completed,2025-12-04
146,2103,2023-10-05,,2,42.97,85.94,Completed,2023-10-05
147,1625,2021-02-06,,5,220.55,1102.75,Cancelled,
148,9423,2023-06-15,,5,74.12,370.60,Completed,2023-06-17
149,966,2026-07-04,,2,127.14,254.28,Completed,2026-07-08
150,7401,2025-04-17,,5,251.76,1258.80,Completed,2025-04-18
151,8460,2025-10-20,,3,216.13,648.39,Cancelled,
152,1260,2026-06-28,,3,55.64,166.92,Completed,2026-06-30
153,3142,2024-03-06,,1,53.86,53.86,Completed,2024-03-09
154,6986,2026-06-13,,2,401.33,802.66,Completed,2026-06-14
155,8726,2026-08-13,,4,293.28,1173.12,Pending,
156,6451,2026-04-15,,3,367.59,1102.77,Completed,2026-04-15
157,1361,2025-04-01,,3,48.54,145.62,Completed,2025-04-02
158,7674,2024-11-21,,2,297.96,595.92,Completed,2024-11-24
159,8073,2026-04-20,,5,17.01,85.05,Completed,2026-04-21
160,6315,2026-03-25,,5,280.83,1404.15,Completed,2026-03-25
161,8081,2024-08-17,,6,258.48,1550.88,Completed,2024-08-19
162,882,2025-08-02,,6,369.13,2214.78,Completed,2025-08-03
163,3130,2024-03-15,,3,6.69,20.07,Completed,2024-03-19
164,2924,2026-05-01,,2,211.35,422.70,Pending,
165,4079,2025-10-25,,4,40.26,161.04,Completed,2025-10-28
166,2687,2023-03-13,,4,271.32,1085.28,Completed,2023-03-17
167,5332,2024-02-22,,6,104.91,629.46,Completed,2024-02-25
168,6573,2026-07-13,,6,147.45,884.70,Completed,2026-07-16
169,9609,2025-09-14,,1,81.29,81.29,Completed,2025-09-18
170,4438,2026-06-11,,2,374.18,748.36,Completed,2026-06-11
171,9306,2025-12-01,,4,411.79,1647.16,Completed,2025-12-02
172,6751,2026-08-11,,4,236.15,944.60,Completed,2026-08-12
173,3581,2025-10-03,,5,73.38,366.90,Pending,
174,5677,2026-06-17,,4,103.64,414.56,Pending,
175,6626,2026-06-06,,4,222.02,888.08,Completed,2026-06-08
176,5804,2026-07-02,,6,236.15,1416.90,Completed,2026-07-02
177,5567,2025-03-25,,6,15.04,90.24,Completed,2025-03-25
178,8985,2022-03-31,,4,289.68,1158.72,Pending,
179,3061,2026-06-13,,6,345.14,2070.84,Pending,
180,9676,2026-08-14,,1,150.56,150.56,Completed,2026-08-14
181,7063,2025-04-18,,3,85.46,256.38,Completed,2025-04-22
182,9403,2025-02-14,,1,277.61,277.61,Completed,2025-02-16
183,3461,2024-07-16,,4,11.89,47.56,Completed,2024-07-18
184,211,2023-09-30,,1,287.89,287.89,Completed,2023-10-03
185,1511,2024-02-26,,6,273.82,1642.92,Completed,2024-02-26
186,5088,2026-01-31,,2,30.48,60.96,Completed,2026-02-03
187,8551,2025-01-02,,2,339.09,678.18,Completed,2025-01-02
188,7372,2024-11-08,,5,275.86,1379.30,Pending,
189,1534,2023-08-29,,4,317.66,1270.64,Completed,2023-09-01
190,5454,2022-05-02,,6,216.75,1300.50,Pending,
191,666,2026-04-05,,6,32.55,195.30,Pending,
192,3262,2024-03-10,,3,9.87,29.61,Completed,2024-03-12
193,2168,2024-08-29,,5,140.38,701.90,Completed,2024-08-29
194,8821,2026-04-13,,4,76.55,306.20,Completed,2026-04-14
195,9556,2024-03-22,,4,416.17,1664.68,Completed,2024-03-24
196,9097,2026-03-07,,3,110.98,332.94,Completed,2026-03-10
197,6017,2022-06-19,,3,330.98,992.94,Completed,2022-06-21
198,4069,2026-06-26,,3,78.68,236.04,Completed,2026-06-30
199,2239,2026-06-24,,5,123.25,616.25,Completed,2026-06-25
200,930,2021-05-11,,1,94.27,94.27,Completed,2021-05-14
201,8844,2026-08-14,,1,71.59,71.59,Completed,2026-08-14
202,4081,2026-05-31,,1,77.72,77.72,Completed,2026-06-01
203,3922,2023-11-27,,4,179.03,716.12,Completed,2023-12-01
204,403,2025-11-19,,8,312.32,2498.56,Pending,
205,8524,2025-11-09,,1,325.63,325.63,Completed,2025-11-12
206,1383,2023-03-26,,7,85.66,599.62,Completed,2023-03-28
207,4356,2021-07-17,,3,16.62,49.86,Completed,2021-07-21
208,4734,2025-06-07,,6,70.09,420.54,Completed,2025-06-07
209,7114,2025-04-08,,2,406.59,813.18,Pending,
210,2768,2026-06-06,,4,209.71,838.84,Completed,2026-06-09
211,1715,2024-05-29,,3,220.29,660.87,Cancelled,
212,617,2025-07-16,,1,122.88,122.88,Cancelled,
213,2951,2026-03-01,,3,412.49,1237.47,Completed,2026-03-03
214,5425,2023-03-16,,1,46.86,46.86,Pending,
215,8691,2023-07-10,,4,282.48,1129.92,Completed,2023-07-14
216,6566,2022-10-30,,5,79.17,395.85,Completed,2022-10-31
217,3146,2025-06-12,,3,113.93,341.79,Completed,2025-06-13
218,1039,2022-11-14,,4,183.99,735.96,Completed,2022-11-16
219,9118,2024-11-03,,1,379.10,379.10,Pending,
220,4977,2025-11-01,,2,302.19,604.38,Cancelled,
221,3680,2026-07-20,,4,113.93,455.72,Completed,2026-07-23
222,607,2024-07-29,,6,124.09,744.54,Completed,2024-07-31
223,3650,2026-05-25,,4,273.15,1092.60,Completed,2026-05-27
224,7255,2024-04-13,,1,365.88,365.88,Completed,2024-04-14
225,4177,2026-03-04,,5,411.79,2058.95,Completed,2026-03-04
226,2597,2026-08-06,,5,122.88,614.40,Completed,2026-08-09
227,8802,2025-09-19,,2,293.28,586.56,Completed,2025-09-21
228,6546,2026-04-19,,3,46.57,139.71,Completed,2026-04-20
229,1825,2026-02-23,,4,181.87,727.48,Completed,2026-02-23
230,8570,2026-01-02,,1,125.92,125.92,Completed,2026-01-02
231,6195,2024-09-05,,3,243.62,730.86,Completed,2024-09-09
232,7304,2025-07-05,,6,369.13,2214.78,Completed,2025-07-06
233,6055,2025-05-02,,3,276.64,829.92,Completed,2025-05-03
234,9448,2026-04-07,,3,289.68,869.04,Completed,2026-04-07
235,4925,2025-03-31,,6,269.16,1614.96,Completed,2025-03-31
236,3811,2024-11-22,,5,137.18,685.90,Completed,2024-11-23
237,8635,2023-07-31,,6,195.34,1172.04,Completed,2023-08-03
238,6391,2026-07-17,,1,13.66,13.66,Completed,2026-07-17
239,4219,2026-03-05,,5,27.92,139.60,Completed,2026-03-05
240,2252,2025-02-11,,4,216.91,867.64,Completed,2025-02-12
241,3004,2024-10-29,,6,84.65,507.90,Completed,2024-10-29
242,5646,2026-04-18,,2,235.32,470.64,Completed,2026-04-21
243,273,2026-05-14,,1,209.71,209.71,Completed,2026-05-18
244,8130,2025-11-12,,1,201.30,201.30,Completed,2025-11-14
245,1018,2026-04-12,,4,93.67,374.68,Completed,2026-04-14
246,5223,2026-08-03,,5,163.00,815.00,Completed,2026-08-04
247,4121,2025-04-22,,1,401.74,401.74,Completed,2025-04-23
248,3266,2026-05-17,,5,273.15,1365.75,Completed,2026-05-17
249,4986,2025-08-19,,6,386.93,2321.58,Completed,2025-08-20
250,5736,2026-06-11,,3,304.54,913.62,Completed,2026-06-15
251,2178,2026-04-14,,2,286.13,572.26,Completed,2026-04-16
252,976,2026-04-16,,7,189.40,1325.80,Completed,2026-04-19
253,5455,2020-04-06,,1,55.64,55.64,Cancelled,
254,5257,2024-03-20,,4,276.17,1104.68,Pending,
255,6288,2020-10-17,,6,123.02,738.12,Completed,2020-10-20
256,7412,2026-02-18,,4,174.54,698.16,Completed,2026-02-20
257,2962,2023-05-30,,4,32.19,128.76,Completed,2023-05-30
258,5838,2025-01-02,,4,328.45,1313.80,Cancelled,
259,3669,2026-07-16,,3,90.60,271.80,Completed,2026-07-19
260,1055,2025-09-02,,3,98.81,296.43,Pending,
261,4333,2022-10-20,,4,81.80,327.20,Completed,2022-10-24
262,5604,2025-04-09,,5,197.96,989.80,Completed,2025-04-12
263,5926,2026-06-09,,4,70.09,280.36,Completed,2026-06-09
264,6338,2022-07-01,,4,175.22,700.88,Completed,2022-07-01
265,8071,2025-11-02,,1,113.93,113.93,Completed,2025-11-05
266,5023,2026-05-14,,1,127.14,127.14,Completed,2026-05-18
267,2541,2026-02-10,,6,16.05,96.30,Completed,2026-02-11
268,5408,2024-10-22,,2,80.17,160.34,Completed,2024-10-26
269,4087,2026-03-16,,5,126.51,632.55,Completed,2026-03-19
270,7841,2025-04-28,,3,11.51,34.53,Completed,2025-04-29
271,3677,2026-04-28,,4,53.86,215.44,Cancelled,
272,1990,2025-05-04,,1,158.92,158.92,Completed,2025-05-07
273,4466,2024-09-18,,2,34.01,68.02,Completed,2024-09-19
274,6851,2025-09-24,,6,112.96,677.76,Cancelled,
275,7071,2023-04-23,,2,380.80,761.60,Completed,2023-04-24
276,6168,2026-04-01,,4,270.20,1080.80,Completed,2026-04-04
277,6060,2023-02-07,,3,150.56,451.68,Pending,
278,4235,2026-02-03,,3,81.93,245.79,Completed,2026-02-07
279,9379,2026-06-17,,4,76.55,306.20,Completed,2026-06-21
280,5866,2023-01-27,,4,46.08,184.32,Pending,
281,4889,2024-04-02,,2,213.16,426.32,Pending,
282,805,2026-05-12,,8,22.95,183.60,Completed,2026-05-14
283,4212,2025-03-02,,4,185.43,741.72,Completed,2025-03-04
284,8263,2026-08-14,,2,133.61,267.22,Completed,2026-08-14
285,1116,2024-11-25,,8,47.59,380.72,Completed,2024-11-29
286,2694,2025-12-05,,1,417.66,417.66,Completed,2025-12-06
287,8380,2026-02-03,,6,58.96,353.76,Completed,2026-02-07
288,7385,2025-05-28,,6,27.50,165.00,Completed,2025-05-29
289,4447,2026-05-22,,2,386.93,773.86,Completed,2026-05-23
290,9552,2025-06-26,,6,124.09,744.54,Completed,2025-06-30
291,5209,2023-11-16,,2,123.82,247.64,Completed,2023-11-16
292,2554,2025-03-21,,5,224.60,1123.00,Cancelled,
293,122,2026-06-23,,7,271.40,1899.80,Pending,
294,9142,2025-10-09,,1,284.38,284.38,Completed,2025-10-12
295,6563,2026-03-23,,3,259.54,778.62,Pending,
296,2853,2023-05-22,,3,307.62,922.86,Completed,2023-05-25
297,1698,2023-04-16,,4,128.20,512.80,Completed,2023-04-19
298,3171,2026-04-23,,3,270.20,810.60,Completed,2026-04-23
299,6614,2021-02-06,,6,182.83,1096.98,Completed,2021-02-07
300,6195,2024-12-10,,1,356.79,356.79,Completed,2024-12-14
301,20001,2026-05-06,102,3,78.18,234.54,Completed,2026-05-07
302,20002,2025-05-11,292,7,303.17,2122.19,Completed,2025-05-14
303,20003,2023-11-09,218,3,208.41,625.23,Cancelled,
304,20004,2026-02-22,317,5,189.65,948.25,Cancelled,
305,20005,2026-07-08,330,4,222.02,888.08,Completed,2026-07-11
306,20006,2025-07-22,480,1,293.28,293.28,Completed,2025-07-23
307,20007,2025-02-24,160,5,123.82,619.10,Pending,
308,20008,2026-04-21,65,4,191.23,764.92,Completed,2026-04-25
309,20009,2025-11-25,226,6,379.10,2274.60,Completed,2025-11-25
310,20010,2025-07-12,432,1,290.81,290.81,Pending,
311,20011,2025-11-01,266,5,90.16,450.80,Completed,2025-11-04
312,20012,2026-06-12,171,5,70.81,354.05,Completed,2026-06-13
313,20013,2023-12-18,490,2,281.60,563.20,Completed,2023-12-22
314,20014,2022-09-23,14,2,127.14,254.28,Completed,2022-09-26
315,20015,2026-02-07,129,3,399.16,1197.48,Completed,2026-02-09
316,20016,2021-04-25,427,1,363.79,363.79,Completed,2021-04-27
317,20017,2024-07-12,96,1,100.94,100.94,Completed,2024-07-12
318,20018,2024-02-15,171,4,70.81,283.24,Completed,2024-02-19
319,20019,2023-10-12,231,8,311.81,2494.48,Completed,2023-10-15
320,20020,2021-12-25,424,2,83.16,166.32,Completed,2021-12-28
321,20021,2023-04-03,161,5,356.66,1783.30,Completed,2023-04-04
322,20022,2026-07-22,456,2,148.84,297.68,Completed,2026-07-24
323,20023,2026-07-12,438,4,408.87,1635.48,Completed,2026-07-13
324,20024,2026-06-20,17,6,187.22,1123.32,Completed,2026-06-23
325,20025,2026-07-31,168,3,16.05,48.15,Completed,2026-08-04
326,20026,2025-05-03,435,4,163.70,654.80,Completed,2025-05-04
327,20027,2026-01-14,360,4,136.08,544.32,Completed,2026-01-16
328,20028,2026-06-23,273,6,183.99,1103.94,Completed,2026-06-25
329,20029,2022-10-03,101,1,264.56,264.56,Completed,2022-10-05
330,20030,2024-04-17,169,3,46.08,138.24,Completed,2024-04-18
331,20031,2026-04-29,448,5,349.51,1747.55,Completed,2026-05-03
332,20032,2025-09-22,224,4,189.67,758.68,Completed,2025-09-25
333,20033,2025-07-24,343,6,113.93,683.58,Completed,2025-07-28
334,20034,2026-05-14,449,1,133.61,133.61,Pending,
335,20035,2022-06-29,477,2,125.92,251.84,Completed,2022-07-02
336,20036,2023-12-24,290,6,77.79,466.74,Completed,2023-12-27
337,20037,2023-01-15,141,5,325.44,1627.20,Completed,2023-01-19
338,20038,2025-03-23,388,1,367.53,367.53,Completed,2025-03-24
339,20039,2025-03-26,229,2,143.17,286.34,Pending,
340,20040,2024-01-20,26,5,160.93,804.65,Pending,
341,20041,2026-08-10,278,2,296.93,593.86,Completed,2026-08-14
342,20042,2024-09-09,378,5,9.87,49.35,Completed,2024-09-10
343,20043,2021-11-18,49,1,394.08,394.08,Completed,2021-11-22
344,20044,2026-08-13,371,5,46.57,232.85,Completed,2026-08-14
345,20045,2026-04-25,388,1,367.53,367.53,Completed,2026-04-27
346,20046,2025-03-20,400,6,258.32,1549.92,Completed,2025-03-22
347,20047,2025-07-12,251,1,387.48,387.48,Completed,2025-07-16
348,20048,2026-04-20,371,1,46.57,46.57,Completed,2026-04-20
349,20049,2024-07-30,373,1,240.15,240.15,Completed,2024-08-01
350,20050,2023-07-07,267,1,216.13,216.13,Pending,
351,3287,2025-09-30,9001,2,259.08,518.16,Completed,2025-10-03
352,16,2025-04-04,9002,5,282.04,1410.20,Completed,2025-04-05
353,1678,2025-04-05,9003,1,80.28,80.28,Completed,2025-04-07
354,9410,2025-04-07,9004,5,70.81,354.05,Completed,2025-04-10
355,1766,2025-03-29,9005,5,361.48,1807.40,Pending,
356,774,2022-11-24,9006,7,13.66,95.62,Completed,2022-11-24
357,8030,2023-08-03,9007,3,222.02,666.06,Pending,
358,9323,2024-01-13,9008,3,295.04,885.12,Completed,2024-01-15
359,8881,2026-04-03,9009,4,77.72,310.88,Completed,2026-04-07
360,448,2025-04-21,9010,1,148.84,148.84,Completed,2025-04-21
361,5576,2026-04-01,9011,2,140.38,280.76,Cancelled,
362,6822,2025-04-13,9012,3,220.29,660.87,Completed,2025-04-17
363,4906,2026-06-22,9013,6,388.62,2331.72,Completed,2026-06-26
364,8076,2025-02-25,9014,1,174.54,174.54,Completed,2025-03-01
365,6784,2026-02-23,9015,3,218.42,655.26,Completed,2026-02-25
366,3301,2020-11-10,9016,3,183.72,551.16,Completed,2020-11-11
367,5635,2024-01-09,9017,6,21.50,129.00,Completed,2024-01-11
368,9185,2026-01-02,9018,5,367.10,1835.50,Pending,
369,8840,2025-11-09,9019,5,271.32,1356.60,Completed,2025-11-09
370,4338,2025-08-16,9020,5,386.75,1933.75,Pending,
371,5415,2023-02-25,9021,1,392.61,392.61,Pending,
372,6628,2025-09-28,9022,2,303.17,606.34,Pending,
373,4634,2026-08-05,9023,3,187.22,561.66,Cancelled,
374,7381,2023-07-17,9024,1,367.53,367.53,Completed,2023-07-21
375,3357,2026-05-12,9025,5,245.65,1228.25,Completed,2026-05-12
376,3842,2024-10-22,9026,5,339.34,1696.70,Completed,2024-10-25
377,6560,2026-01-25,9027,6,123.25,739.50,Completed,2026-01-29
378,5903,2024-11-09,9028,5,166.48,832.40,Completed,2024-11-13
379,6206,2020-12-15,9029,3,11.88,35.64,Pending,
380,3099,2023-08-04,9030,2,175.47,350.94,Completed,2023-08-04
381,536,2026-08-12,406,3,40.26,120.78,Completed,2026-08-14
382,5316,2024-08-12,248,2,192.52,385.04,Completed,2024-08-16
383,739,2026-06-08,99,4,196.32,785.28,Completed,2026-06-11
384,3378,2023-08-24,385,2,419.41,838.82,Completed,2023-08-26
385,9041,2025-11-16,405,4,219.72,878.88,Completed,2025-11-18
386,8510,2024-05-28,182,6,314.97,1889.82,Completed,2024-05-31
387,4129,2025-07-25,267,5,216.13,1080.65,Completed,2025-07-26
388,4200,2023-11-30,500,6,158.40,950.40,Completed,2023-12-02
389,1927,2025-09-27,474,1,261.56,261.56,Completed,2025-09-27
390,1178,2021-07-24,284,7,193.40,1353.80,Completed,2021-07-27
391,549,2022-05-26,2,6,258.48,1550.88,Completed,2022-05-26
392,2215,2024-08-16,350,6,125.15,750.90,Completed,2024-08-20
393,1697,2026-06-14,5,5,135.53,677.65,Completed,2026-06-16
394,2711,2025-05-08,163,2,42.97,85.94,Pending,
395,9375,2025-09-01,198,3,249.85,749.55,Completed,2025-09-04
396,1284,2023-02-05,140,3,372.13,1116.39,Pending,
397,9241,2026-05-28,278,1,296.93,296.93,Completed,2026-05-28
398,3126,2024-08-23,339,1,108.86,108.86,Completed,2024-08-24
399,9648,2026-05-31,131,4,293.96,1175.84,Completed,2026-05-31
400,1814,2026-02-18,50,5,199.30,996.50,Completed,2026-02-19
401,4105,2025-12-05,385,1,419.41,419.41,Completed,2025-12-08
402,5617,2025-11-28,476,2,85.46,170.92,Pending,
403,6740,2023-03-11,417,2,400.31,800.62,Completed,2023-03-14
404,6766,2025-04-19,366,3,123.02,369.06,Completed,2025-04-19
405,989,2020-11-12,1,3,374.18,1122.54,Pending,
406,3393,2025-09-28,113,1,17.76,17.76,Completed,2025-10-01
407,7451,2025-12-12,297,4,306.08,1224.32,Completed,2025-12-14
408,6393,2025-12-22,334,2,386.93,773.86,Completed,2025-12-23
409,8985,2025-08-19,373,2,240.15,480.30,Completed,2025-08-23
410,5037,2022-11-26,51,2,125.77,251.54,Completed,2022-11-28
411,6441,2024-08-25,457,2,150.00,300.00,Completed,2024-08-25
412,7974,2026-08-14,136,6,186.74,1120.44,Completed,2026-08-14
413,3273,2020-10-05,263,3,339.34,1018.02,Cancelled,
414,6017,2023-03-20,4,2,218.65,437.30,Completed,2023-03-20
415,7144,2023-07-02,279,4,225.99,903.96,Completed,2023-07-04
416,7301,2022-09-09,252,1,351.13,351.13,Completed,2022-09-13
417,8036,2026-07-10,95,3,105.42,316.26,Completed,2026-07-10
418,6107,2026-02-01,299,3,273.66,820.98,Cancelled,
